display_no,count,mean,std,min,25%,50%,75%,max
5,10.0,2.2199999999999998,0.2250925735484551,1.8333333333333333,2.125,2.2333333333333334,2.325,2.6
6,10.0,5.570000000000001,1.5303069973612615,4.233333333333333,4.658333333333333,5.133333333333333,5.683333333333334,9.3
7,10.0,2.8466666666666667,0.3392802839999859,2.5,2.6,2.6333333333333333,3.1666666666666665,3.3666666666666667
8,10.0,15.096666666666664,2.2098796123849302,12.666666666666666,13.808333333333334,14.566666666666666,15.641666666666666,20.366666666666667
9,10.0,5.023333333333333,0.5328817532651713,4.266666666666667,4.708333333333334,5.0,5.508333333333333,5.766666666666667
10,10.0,2.036666666666666,0.34763752940649534,1.4666666666666666,1.775,2.05,2.291666666666667,2.6
11,10.0,3.2266666666666666,0.5546214369023297,2.2,2.9916666666666667,3.2333333333333334,3.5166666666666666,4.066666666666666
12,10.0,7.413333333333334,2.091322459504901,5.633333333333334,6.2,6.983333333333333,7.641666666666667,12.9
13,10.0,4.140000000000001,0.3767305747161039,3.3,4.041666666666666,4.133333333333333,4.366666666666667,4.6
14,10.0,7.110000000000001,1.2370863818058069,5.3,6.141666666666667,6.966666666666667,8.033333333333333,9.066666666666666
15,10.0,4.316666666666667,0.3450711145171007,3.7,4.2,4.3,4.491666666666667,4.966666666666667
16,10.0,3.97,0.6549809157525126,3.1333333333333333,3.5,3.8166666666666664,4.3500000000000005,5.266666666666667
17,10.0,6.139999999999999,1.1811064074328832,5.0,5.199999999999999,5.816666666666666,6.683333333333334,8.666666666666666
19,10.0,2.1399999999999997,0.5113043113112113,1.4,1.9,2.0666666666666664,2.425,2.9
18,10.0,2.6033333333333335,1.061963008818464,0.0,2.558333333333333,2.6833333333333336,3.091666666666667,4.066666666666666
20,10.0,5.636666666666667,0.7895068002584406,4.7,5.1,5.516666666666667,6.008333333333333,7.4
21,10.0,7.609999999999999,1.698804953961737,5.333333333333333,6.616666666666666,7.283333333333333,8.108333333333333,10.833333333333334
22,10.0,3.8466666666666667,0.5491182606666171,3.0,3.4833333333333334,4.0,4.125,4.866666666666666
23,10.0,5.843333333333334,0.6494156917881957,5.0,5.533333333333333,5.816666666666666,5.883333333333334,7.5
24,10.0,4.486666666666666,0.40861101669309285,4.0,4.166666666666667,4.383333333333333,4.824999999999999,5.166666666666667
25,10.0,4.313333333333333,0.8709580364372143,3.033333333333333,3.841666666666667,4.233333333333333,4.583333333333334,6.1
26,10.0,4.836666666666666,1.468807360319383,3.6333333333333333,4.025,4.5,4.791666666666666,8.766666666666666
27,10.0,5.4799999999999995,0.7151275462513016,4.333333333333333,5.116666666666666,5.483333333333333,5.775,7.0
28,10.0,3.9666666666666663,1.229071716357763,2.966666666666667,3.433333333333333,3.5833333333333335,3.7,6.933333333333334
29,10.0,3.1799999999999997,0.9272553419289654,2.033333333333333,2.4333333333333336,2.916666666666667,3.9416666666666664,4.633333333333334
30,10.0,8.190000000000001,1.0298088040211666,6.433333333333334,7.558333333333334,8.033333333333333,8.758333333333333,9.733333333333333
31,10.0,6.789999999999999,0.8909767147197728,5.333333333333333,6.266666666666667,7.083333333333333,7.333333333333333,8.133333333333333
32,10.0,8.143333333333334,1.1493476410555685,6.533333333333333,7.25,8.25,9.083333333333332,9.766666666666667
33,10.0,3.1333333333333333,1.6961102922442248,1.8,2.3916666666666666,2.6833333333333336,3.1916666666666664,7.699999999999999
34,10.0,2.0433333333333334,0.31113095174829924,1.6666666666666667,1.8416666666666666,1.95,2.091666666666667,2.6
35,10.0,1.5433333333333334,0.16927587243211697,1.2,1.4666666666666666,1.5166666666666666,1.6500000000000001,1.8
36,10.0,1.7566666666666666,0.4037020047534757,1.3333333333333333,1.4416666666666667,1.6333333333333333,2.0083333333333333,2.433333333333333
37,10.0,1.3166666666666667,0.25300661192746,0.8,1.2166666666666666,1.3666666666666667,1.4916666666666667,1.6
38,10.0,9.276666666666667,0.6609103336579043,8.3,8.966666666666667,9.133333333333333,9.458333333333334,10.8
39,10.0,0.82,0.34217892944055806,0.0,0.6916666666666667,0.9,1.0416666666666667,1.2
